x(m),y(m),z(m),Serving_PCI,Serving_RSRP(dBm),Serving_SINR(dB),Detected_PCI,Detected_RSRP(dBm),Detected_SINR(dB)
346.78,2083.14,75,2,-79.08,17.57,,,
186.09,2083.15,75,2,-86.08,9.28,,,
273.59,2083.18,75,2,-86.06,9.15,,,
258.46,2083.25,75,8,-83.57,10.37,,,
181.12,2083.32,75,2,-81.11,15.71,,,
243.96,2083.32,75,8,-84.37,10.44,,,
230.36,2083.4,75,8,-83.93,8.63,,,
191.34,2083.45,75,2,-86.72,8.79,,,
217.95,2083.5,75,8,-85.04,11.59,,,
207.07,2083.57,75,2,-85.23,10.15,,,
198.13,2083.6,75,2,-85.18,10.59,,,
371.43,2083.94,75,2,-78.65,17.9,,,
980.33,2084.47,75,2,-85.25,8.76,,,
176.77,2085.02,75,1,-83.44,11.38,,,
587.1,2085.27,75,2,-78.47,5.8,,,
769.19,2085.52,75,2,-80.69,23.0,,,
763.86,2085.55,75,2,-79.58,23.02,,,
592.15,2085.58,75,2,-82.36,-5.8,,,
756.26,2085.6,75,2,-79.95,22.71,,,
746.2,2085.63,75,2,-80.38,21.48,,,
702.91,2085.64,75,2,-82.22,20.36,,,
733.51,2085.64,75,2,-80.51,21.05,,,
718.69,2085.65,75,2,-82.23,20.67,,,
687.13,2085.67,75,2,-86.61,15.77,,,
671.76,2085.74,75,2,-81.47,19.39,,,
656.86,2085.77,75,8,-88.38,12.3,,,
642.54,2085.79,75,8,-87.45,-2.17,,,
582.24,2085.81,75,2,-79.68,5.29,,,
629.1,2085.81,75,2,-83.94,-4.25,,,
598.29,2085.83,75,2,-84.5,2.29,,,
616.94,2085.86,75,2,-82.02,10.78,,,
606.53,2085.89,75,2,-85.97,1.68,,,
772.97,2085.98,75,2,-76.22,22.25,,,
374.34,2086.78,75,2,-76.0,16.09,,,
-222.83,2087.24,75,1,-83.58,9.39,,,
-217.81,2087.36,75,1,-82.61,10.23,,,
-42.34,2087.48,75,1,-84.3,16.38,,,
-127.06,2087.5,75,1,-82.93,5.53,,,
-142.42,2087.53,75,1,-79.04,11.28,,,
-111.3,2087.53,75,1,-81.86,7.92,,,
-95.49,2087.57,75,2,-82.95,8.46,,,
-80.39,2087.57,75,2,-84.38,8.82,,,
-56.49,2087.57,75,2,-82.68,12.17,,,
-157.18,2087.58,75,1,-80.31,12.52,,,
-67.14,2087.58,75,2,-82.16,13.38,,,
-171.09,2087.64,75,1,-80.38,11.47,,,
-212.24,2087.65,75,1,-80.22,11.11,,,
-38.3,2087.66,75,1,-80.22,9.58,,,
-183.89,2087.67,75,1,-81.36,11.22,,,
-195.28,2087.73,75,1,-80.45,10.19,,,
-204.83,2087.76,75,1,-82.43,7.51,,,
578.47,2088.04,75,8,-83.8,-4.33,,,
174.42,2088.08,75,1,-84.16,7.25,,,
776.06,2088.2,75,2,-75.29,23.57,,,
-227.51,2088.37,75,1,-83.16,17.09,,,
980.41,2089.12,75,8,-88.91,10.55,,,
-35.09,2089.28,75,1,-81.25,8.96,,,
-230.49,2091.1,75,1,-78.08,11.96,,,
576.83,2091.22,75,8,-87.68,-8.36,,,
375.64,2091.41,75,2,-74.72,17.67,,,
173.87,2091.79,75,2,-89.61,10.46,,,
777.84,2092.51,75,2,-73.77,25.23,,,
-231.4,2094.53,75,1,-81.5,12.71,,,
576.61,2095.22,75,2,-86.06,14.84,,,
-169.69,2096.34,75,1,-77.25,8.67,,,
375.51,2096.38,75,2,-77.52,17.71,,,
173.89,2096.91,75,2,-85.68,14.59,,,
980.42,2097.19,75,8,-87.04,10.89,,,
778.05,2097.44,75,2,-83.61,16.42,,,
-32.32,2097.98,75,8,-83.5,9.77,,,
-231.35,2099.0,75,1,-81.11,14.09,,,
576.67,2101.06,75,2,-88.11,15.61,,,
375.1,2101.78,75,2,-76.23,9.94,,,
777.71,2102.61,75,2,-80.11,16.77,,,
-32.68,2103.02,75,1,-78.4,9.05,,,
173.9,2104.23,75,2,-86.97,14.26,,,
-231.24,2105.61,75,1,-82.18,16.94,,,
980.39,2108.69,75,8,-90.05,8.94,,,
374.87,2108.95,75,2,-78.19,12.8,,,
-33.02,2109.12,75,1,-77.11,8.33,,,
576.71,2109.15,75,2,-86.75,16.18,,,
777.46,2109.24,75,2,-79.51,18.65,,,
-169.07,2113.22,75,8,-77.22,4.79,,,
173.88,2113.91,75,2,-87.18,13.81,,,
-231.16,2114.53,75,1,-82.32,16.39,,,
-33.14,2117.32,75,1,-76.36,8.98,,,
777.4,2118.06,75,2,-78.61,18.34,,,
374.83,2118.32,75,2,-75.79,16.07,,,
576.71,2119.7,75,2,-88.87,15.75,,,
980.35,2122.66,75,8,-88.93,10.91,,,
-231.14,2125.8,75,1,-83.77,14.5,,,
173.82,2125.99,75,2,-87.72,12.25,,,
-33.15,2127.74,75,1,-74.95,9.6,,,
777.41,2129.03,75,2,-78.59,18.04,,,
374.81,2129.66,75,2,-76.0,15.63,,,
-168.42,2130.12,75,1,-76.2,8.08,,,
576.71,2132.62,75,2,-85.58,18.55,,,
980.35,2137.52,75,8,-87.68,13.55,,,
-231.14,2139.3,75,1,-87.16,11.51,,,
173.78,2140.02,75,1,-89.5,6.35,,,
-33.18,2140.11,75,1,-74.44,10.37,,,
777.42,2141.82,75,2,-79.86,16.44,,,
374.7,2142.5,75,2,-76.75,14.92,,,
-167.78,2147.02,75,8,-76.79,5.15,,,
576.72,2147.08,75,2,-89.58,14.9,,,
980.35,2152.46,75,8,-87.2,14.43,,,
-231.11,2154.05,75,1,-81.0,16.5,,,
173.75,2154.87,75,8,-84.5,16.57,,,
777.38,2156.05,75,2,-78.27,18.23,,,
374.6,2156.48,75,2,-76.65,16.75,,,
576.73,2161.97,75,8,-88.9,13.69,,,
-167.15,2163.91,75,1,-76.44,7.25,,,
980.36,2167.37,75,8,-88.83,13.76,,,
-231.07,2168.99,75,1,-80.62,10.86,,,
-33.31,2169.01,75,1,-75.55,10.54,,,
173.73,2169.8,75,8,-86.36,13.92,,,
374.58,2171.25,75,2,-75.65,17.07,,,
777.36,2171.37,75,2,-78.11,17.89,,,
576.73,2176.87,75,8,-89.77,15.14,,,
-166.46,2180.8,75,1,-77.41,6.88,,,
980.35,2182.27,75,8,-89.18,9.27,,,
-230.99,2183.91,75,1,-82.06,9.67,,,
173.71,2184.75,75,8,-84.23,15.19,,,
374.64,2186.57,75,2,-77.04,15.88,,,
777.46,2187.2,75,2,-79.93,17.09,,,
576.71,2191.8,75,8,-91.37,11.93,,,
980.37,2197.18,75,8,-89.57,10.12,,,
-165.78,2197.7,75,1,-78.11,7.25,,,
-230.93,2198.8,75,1,-80.73,14.89,,,
173.71,2199.73,75,8,-83.77,16.42,,,
-33.14,2200.65,75,1,-80.29,10.87,,,
374.8,2202.23,75,2,-76.86,17.98,,,
777.61,2202.88,75,2,-80.87,17.05,,,
576.7,2206.71,75,8,-91.07,12.48,,,
980.38,2212.06,75,8,-90.08,9.3,,,
-230.87,2213.71,75,1,-83.2,9.42,,,
-165.11,2214.59,75,8,-78.61,3.59,,,
173.71,2214.66,75,8,-85.86,12.75,,,
-33.05,2216.12,75,1,-77.9,9.48,,,
375.0,2217.93,75,2,-77.18,18.56,,,
777.69,2218.22,75,2,-81.44,15.3,,,
576.72,2221.62,75,2,-89.34,15.96,,,
980.38,2226.96,75,8,-89.25,11.06,,,
-230.82,2228.62,75,1,-81.98,13.01,,,
173.68,2229.56,75,8,-85.47,14.57,,,
-32.99,2231.28,75,1,-79.11,12.01,,,
-164.42,2231.45,75,8,-78.25,11.13,,,
777.71,2233.35,75,2,-83.5,15.75,,,
375.14,2233.41,75,2,-77.43,18.79,,,
576.73,2236.55,75,2,-87.36,17.68,,,
980.39,2241.89,75,8,-91.51,11.63,,,
-230.78,2243.55,75,1,-84.33,12.15,,,
173.67,2244.53,75,8,-84.68,15.05,,,
-32.93,2246.24,75,2,-78.65,10.29,,,
-163.79,2247.55,75,8,-86.0,13.23,,,
777.73,2248.34,75,2,-81.83,17.6,,,
